Product_Weight,Product_Allocated_Area,Product_MRP,Store_Establishment_Year,Product_Id,Product_Sugar_Content,Product_Type,Store_Id,Store_Size,Store_Location_City_Type,Store_Type
12.53,0.066,145.62,2009,FD1781,Regular,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
13.29,0.086,135.99,2009,FD3171,Low Sugar,Canned,OUT004,Medium,Tier 2,Supermarket Type2
9.99,0.09,125.79,1987,FD1479,Regular,Fruits and Vegetables,OUT001,High,Tier 2,Supermarket Type1
10.72,0.049,92.94,1998,NC4402,No Sugar,Health and Hygiene,OUT002,Small,Tier 3,Food Mart
15.6,0.121,176.07,1987,DR433,Low Sugar,Soft Drinks,OUT001,High,Tier 2,Supermarket Type1
11.87,0.1,130.28,2009,FD7674,Low Sugar,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2
11.13,0.052,135.49,2009,FD1517,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2
14.02,0.09,118.48,2009,DR1382,Low Sugar,Soft Drinks,OUT004,Medium,Tier 2,Supermarket Type2
11.42,0.018,147.95,2009,NC4185,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2
9.55,0.043,88.28,1998,DR389,Low Sugar,Soft Drinks,OUT002,Small,Tier 3,Food Mart
14.44,0.097,218.42,1999,NC8059,No Sugar,Household,OUT003,Medium,Tier 1,Departmental Store
10.95,0.073,145.75,2009,FD4954,Low Sugar,Starchy Foods,OUT004,Medium,Tier 2,Supermarket Type2
10.62,0.107,132.73,2009,FD3225,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
9.45,0.035,129.31,1987,NC208,No Sugar,Household,OUT001,High,Tier 2,Supermarket Type1
12.76,0.16,160.7,2009,FD1674,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
12.94,0.027,120.3,2009,DR6329,Low Sugar,Soft Drinks,OUT004,Medium,Tier 2,Supermarket Type2
8.97,0.02,118.77,1998,FD8596,Low Sugar,Snack Foods,OUT002,Small,Tier 3,Food Mart
11.56,0.086,141.52,2009,FD6731,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
17.13,0.147,191.14,1999,FD2264,Low Sugar,Fruits and Vegetables,OUT003,Medium,Tier 1,Departmental Store
13.2,0.133,119.63,2009,DR2441,Low Sugar,Hard Drinks,OUT004,Medium,Tier 2,Supermarket Type2
14.44,0.019,141.72,2009,FD3304,Regular,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2
11.17,0.039,121.43,2009,DR7431,Low Sugar,Hard Drinks,OUT004,Medium,Tier 2,Supermarket Type2
8.49,0.199,138.99,1987,FD2903,Low Sugar,Baking Goods,OUT001,High,Tier 2,Supermarket Type1
12.92,0.013,117.1,2009,FD1646,Regular,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
19.22,0.033,212.36,1999,FD6647,Low Sugar,Snack Foods,OUT003,Medium,Tier 1,Departmental Store
12.67,0.042,159.77,2009,FD4591,Low Sugar,Breads,OUT004,Medium,Tier 2,Supermarket Type2
15.65,0.093,184.74,1987,FD2573,Regular,Frozen Foods,OUT001,High,Tier 2,Supermarket Type1
9.72,0.162,113.3,1998,FD7280,Low Sugar,Meat,OUT002,Small,Tier 3,Food Mart
14.51,0.067,182.65,1987,FD2537,Low Sugar,Frozen Foods,OUT001,High,Tier 2,Supermarket Type1
12.8,0.016,194.7,1999,DR6236,Low Sugar,Soft Drinks,OUT003,Medium,Tier 1,Departmental Store
16.8,0.017,160.69,1987,FD2515,Low Sugar,Seafood,OUT001,High,Tier 2,Supermarket Type1
15.05,0.1,229.89,1999,FD3047,Low Sugar,Canned,OUT003,Medium,Tier 1,Departmental Store
11.81,0.07,128.82,2009,FD4228,Regular,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2
13.22,0.098,213.71,1987,FD7115,Regular,Canned,OUT001,High,Tier 2,Supermarket Type1
13.06,0.098,135.29,2009,FD7030,Regular,Dairy,OUT004,Medium,Tier 2,Supermarket Type2
10.17,0.031,156.69,2009,NC453,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2
10.2,0.016,116.99,1998,NC4694,No Sugar,Health and Hygiene,OUT002,Small,Tier 3,Food Mart
15.45,0.012,191.07,1999,FD1969,Regular,Frozen Foods,OUT003,Medium,Tier 1,Departmental Store
10.44,0.1,56.01,1998,NC8741,No Sugar,Household,OUT002,Small,Tier 3,Food Mart
13.73,0.07,142.45,2009,FD1349,Regular,Breakfast,OUT004,Medium,Tier 2,Supermarket Type2
15.47,0.029,175.2,1987,DR3067,Low Sugar,Soft Drinks,OUT001,High,Tier 2,Supermarket Type1
12.16,0.03,158.08,2009,DR6416,Regular,Soft Drinks,OUT004,Medium,Tier 2,Supermarket Type2
12.02,0.161,106.83,1987,FD3484,Low Sugar,Frozen Foods,OUT001,High,Tier 2,Supermarket Type1
12.81,0.031,168.24,2009,FD1526,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
13.55,0.029,147.92,2009,FD1719,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
12.15,0.047,140.69,2009,FD1827,Regular,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2
15.8,0.05,177.27,1987,FD4246,Low Sugar,Snack Foods,OUT001,High,Tier 2,Supermarket Type1
11.93,0.076,143.45,2009,FD8058,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
11.2,0.014,181.94,2009,DR8292,Regular,Hard Drinks,OUT004,Medium,Tier 2,Supermarket Type2
16.3,0.071,154.75,1999,FD7287,Low Sugar,Dairy,OUT003,Medium,Tier 1,Departmental Store
12.23,0.058,164.15,2009,FD8567,Low Sugar,Seafood,OUT004,Medium,Tier 2,Supermarket Type2
10.41,0.021,151.97,2009,FD8000,Low Sugar,Canned,OUT004,Medium,Tier 2,Supermarket Type2
8.05,0.04,67.14,1998,NC993,No Sugar,Health and Hygiene,OUT002,Small,Tier 3,Food Mart
10.46,0.047,97.59,1998,NC5781,No Sugar,Health and Hygiene,OUT002,Small,Tier 3,Food Mart
14.57,0.06,161.93,1987,FD2864,Low Sugar,Snack Foods,OUT001,High,Tier 2,Supermarket Type1
10.57,0.042,125.25,2009,FD2275,Low Sugar,Meat,OUT004,Medium,Tier 2,Supermarket Type2
9.66,0.062,178.03,2009,NC4161,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2
