Product_Weight,Product_Allocated_Area,Product_MRP,Store_Establishment_Year,Product_Id,Product_Sugar_Content,Product_Type,Store_Id,Store_Size,Store_Location_City_Type,Store_Type
13.64,0.071,157.1,2009,NC6218,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2
10.03,0.016,126.66,1987,FD7005,Low Sugar,Frozen Foods,OUT001,High,Tier 2,Supermarket Type1
12.26,0.14,138.27,2009,FD3181,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
10.28,0.143,147.44,2009,FD4347,Low Sugar,Canned,OUT004,Medium,Tier 2,Supermarket Type2
16.38,0.082,205.16,1999,FD2424,Low Sugar,Baking Goods,OUT003,Medium,Tier 1,Departmental Store
13.37,0.113,137.21,2009,FD7234,Low Sugar,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2
11.8,0.029,144.64,2009,FD8547,reg,Breads,OUT004,Medium,Tier 2,Supermarket Type2
9.61,0.026,161.79,2009,FD201,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
11.98,0.086,125.08,2009,FD2119,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
11.5,0.039,159.66,2009,FD671,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2
12.66,0.153,151.92,2009,FD8491,Regular,Canned,OUT004,Medium,Tier 2,Supermarket Type2
9.18,0.171,115.82,1998,FD4274,Regular,Dairy,OUT002,Small,Tier 3,Food Mart
13.61,0.03,146.14,2009,NC3189,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2
13.18,0.059,178.63,1999,NC6507,No Sugar,Health and Hygiene,OUT003,Medium,Tier 1,Departmental Store
13.18,0.056,164.71,2009,FD2469,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
10.56,0.012,131.37,2009,FD3794,Regular,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2
15.45,0.036,166.22,1999,NC2775,No Sugar,Household,OUT003,Medium,Tier 1,Departmental Store
15.4,0.128,177.14,1987,FD5874,Low Sugar,Fruits and Vegetables,OUT001,High,Tier 2,Supermarket Type1
13.89,0.047,153.26,2009,FD1671,Low Sugar,Meat,OUT004,Medium,Tier 2,Supermarket Type2
13.31,0.1,160.34,2009,FD1747,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
10.43,0.077,119.8,1999,FD185,Regular,Snack Foods,OUT003,Medium,Tier 1,Departmental Store
12.73,0.056,144.22,2009,FD1120,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
10.95,0.027,120.35,2009,FD4705,Low Sugar,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2
13.64,0.016,155.99,2009,FD5155,Regular,Dairy,OUT004,Medium,Tier 2,Supermarket Type2
13.7,0.016,136.46,2009,NC6066,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2
12.74,0.025,121.39,2009,FD4734,Regular,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
16.86,0.061,217.5,1999,FD2596,Low Sugar,Fruits and Vegetables,OUT003,Medium,Tier 1,Departmental Store
11.69,0.076,141.63,2009,FD2030,Low Sugar,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2
11.76,0.124,185.36,1987,FD7705,Low Sugar,Frozen Foods,OUT001,High,Tier 2,Supermarket Type1
12.78,0.058,181.08,1987,FD6517,Low Sugar,Snack Foods,OUT001,High,Tier 2,Supermarket Type1
18.01,0.012,229.54,1999,NC2868,No Sugar,Health and Hygiene,OUT003,Medium,Tier 1,Departmental Store
9.99,0.04,97.16,1998,DR3465,Low Sugar,Hard Drinks,OUT002,Small,Tier 3,Food Mart
10.09,0.02,116.0,1998,NC2284,No Sugar,Household,OUT002,Small,Tier 3,Food Mart
11.0,0.078,167.49,2009,DR6318,Regular,Soft Drinks,OUT004,Medium,Tier 2,Supermarket Type2
9.5,0.05,80.23,1998,FD4634,Low Sugar,Fruits and Vegetables,OUT002,Small,Tier 3,Food Mart
13.61,0.056,135.29,2009,FD8175,Regular,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
12.14,0.09,95.05,1998,FD7866,Low Sugar,Baking Goods,OUT002,Small,Tier 3,Food Mart
11.73,0.048,122.21,2009,DR7064,Regular,Soft Drinks,OUT004,Medium,Tier 2,Supermarket Type2
15.2,0.013,164.09,1999,FD5350,Low Sugar,Baking Goods,OUT003,Medium,Tier 1,Departmental Store
14.23,0.057,156.52,1987,DR2334,Regular,Soft Drinks,OUT001,High,Tier 2,Supermarket Type1
12.95,0.114,134.98,2009,FD3729,Regular,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2
13.13,0.095,116.75,2009,FD5424,Regular,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
12.83,0.011,150.54,2009,FD5941,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2
10.84,0.049,124.93,1998,FD129,Low Sugar,Meat,OUT002,Small,Tier 3,Food Mart
10.92,0.052,100.26,1998,FD1535,Low Sugar,Fruits and Vegetables,OUT002,Small,Tier 3,Food Mart
